id,question,why_it_matters,what_to_record
Q001,Are you embedding the font file inside the game build?,Embedding can trigger license-file and copyright-notice handling.,"Record source URL, evidence URL, and whether the license file is bundled."
Q002,Does the font have a Reserved Font Name clause?,OFL can allow modification but restrict use of the original reserved name for derivatives.,Record reserved-name wording before modifying or renaming.
Q003,Are you using the font in a logo or trademark?,Font license permission is not the same as trademark safety or distinctiveness.,Record separate brand/logo review status.
Q004,Are you redistributing the raw font file?,Redistribution often requires including license and copyright notices.,Record where the license file is bundled.
Q005,Is the source row verified or discovery-only?,Directory tags are not enough for shipping decisions.,Count only verified rows in public claims.
Q006,Does the font cover your target languages?,A font can be legally usable but fail localization.,Record glyph/script coverage and fallback behavior.
Q007,Is the font readable at the smallest in-game size?,Good license does not equal good UI.,"Record tested size, resolution, and viewport."
Q008,Are you modifying the font file?,Modification can create naming and license-handling obligations.,Record derivative name and license handling.
Q009,Which engine path are you using?,"Unity, Godot, and Unreal handle imported fonts differently.",Record engine-specific packaging and license-file location.
Q010,Can the team re-check this source later?,"Release audits need repeatable evidence, not memory.","Keep evidence URL, last_checked, and local audit report."
